title,provider,provider_type,curriculum,country,province,grade,phase,subject,topic,language,resource_type,year,term,examination_type,url,memo_url,licence,trust_level,quality_score,source_url,discovered_from,discovered_at,last_verified,status
2025 NSC Economics Paper 2 + memo,Department of Basic Education,government,CAPS/NCS,South Africa,National,12,FET,Economics,Paper 2,English,past paper,2025,November,NSC November final exam,https://www.education.gov.za/LinkClick.aspx?fileticket=Bi6CsZZVPzo%3d&tabid=5742&portalid=0&mid=14836&forcedownload=true,https://www.education.gov.za/LinkClick.aspx?fileticket=iIiF0mlTUsU%3d&tabid=5742&portalid=0&mid=14836&forcedownload=true,unknown,A,90,https://www.education.gov.za/Curriculum/NationalSeniorCertificate(NSC)Examinations/2025NovemberExamPapers.aspx,DBE 2025 November Exam Papers index,2026-09-05,2026-09-05,verified
2025 NSC Geography Paper 2 + memo,Department of Basic Education,government,CAPS/NCS,South Africa,National,12,FET,Geography,Paper 2,English,past paper,2025,November,NSC November final exam,https://www.education.gov.za/LinkClick.aspx?fileticket=q-0mpNmbw9Q%3d&tabid=5742&portalid=0&mid=14839&forcedownload=true,https://www.education.gov.za/LinkClick.aspx?fileticket=V40npxGuaQY%3d&tabid=5742&portalid=0&mid=14839&forcedownload=true,unknown,A,89,https://www.education.gov.za/Curriculum/NationalSeniorCertificate(NSC)Examinations/2025NovemberExamPapers.aspx,DBE 2025 November Exam Papers index,2026-09-05,2026-09-05,verified
2025 NSC History Paper 2 + memo,Department of Basic Education,government,CAPS/NCS,South Africa,National,12,FET,History,Paper 2,English,past paper,2025,November,NSC November final exam,https://www.education.gov.za/LinkClick.aspx?fileticket=BTY7J86DRoQ%3d&tabid=5742&portalid=0&mid=14840&forcedownload=true,https://www.education.gov.za/LinkClick.aspx?fileticket=iXDlZV9jCl4%3d&tabid=5742&portalid=0&mid=14840&forcedownload=true,unknown,A,89,https://www.education.gov.za/Curriculum/NationalSeniorCertificate(NSC)Examinations/2025NovemberExamPapers.aspx,DBE 2025 November Exam Papers index,2026-09-05,2026-09-05,verified
2025 NSC Information Technology Paper 2 + memo,Department of Basic Education,government,CAPS/NCS,South Africa,National,12,FET,Information Technology,Paper 2,English,past paper,2025,November,NSC November final exam,https://www.education.gov.za/LinkClick.aspx?fileticket=ZsHAdWdQu08%3d&tabid=5742&portalid=0&mid=14842&forcedownload=true,https://www.education.gov.za/LinkClick.aspx?fileticket=0J8BUZWhfKw%3d&tabid=5742&portalid=0&mid=14842&forcedownload=true,unknown,A,88,https://www.education.gov.za/Curriculum/NationalSeniorCertificate(NSC)Examinations/2025NovemberExamPapers.aspx,DBE 2025 November Exam Papers index,2026-09-05,2026-09-05,verified
2025 NSC Agricultural Management Practices Paper 1 + memo,Department of Basic Education,government,CAPS/NCS,South Africa,National,12,FET,Agricultural Sciences,Agricultural Management Practices — Paper 1,English,past paper,2025,November,NSC November final exam,https://www.education.gov.za/LinkClick.aspx?fileticket=ex3nOl9lSrQ%3d&tabid=5742&portalid=0&mid=14826&forcedownload=true,https://www.education.gov.za/LinkClick.aspx?fileticket=c4EqQd5HfjU%3d&tabid=5742&portalid=0&mid=14826&forcedownload=true,unknown,A,84,https://www.education.gov.za/Curriculum/NationalSeniorCertificate(NSC)Examinations/2025NovemberExamPapers.aspx,DBE 2025 November Exam Papers index,2026-09-05,2026-09-05,verified
2025 NSC Agricultural Technology Paper 1 + memo,Department of Basic Education,government,CAPS/NCS,South Africa,National,12,FET,Agricultural Sciences,Agricultural Technology — Paper 1,English,past paper,2025,November,NSC November final exam,https://www.education.gov.za/LinkClick.aspx?fileticket=QZQ1ISeb-8Q%3d&tabid=5742&portalid=0&mid=14828&forcedownload=true,https://www.education.gov.za/LinkClick.aspx?fileticket=M8wXTMiQPCg%3d&tabid=5742&portalid=0&mid=14828&forcedownload=true,unknown,A,84,https://www.education.gov.za/Curriculum/NationalSeniorCertificate(NSC)Examinations/2025NovemberExamPapers.aspx,DBE 2025 November Exam Papers index,2026-09-05,2026-09-05,verified
2025 NSC Consumer Studies Paper 1 + memo,Department of Basic Education,government,CAPS/NCS,South Africa,National,12,FET,Consumer Studies,Paper 1,English,past paper,2025,November,NSC November final exam,https://www.education.gov.za/LinkClick.aspx?fileticket=2KmvhTl6edE%3d&tabid=5742&portalid=0&mid=14832&forcedownload=true,https://www.education.gov.za/LinkClick.aspx?fileticket=gcnFCqeK88Y%3d&tabid=5742&portalid=0&mid=14832&forcedownload=true,unknown,A,85,https://www.education.gov.za/Curriculum/NationalSeniorCertificate(NSC)Examinations/2025NovemberExamPapers.aspx,DBE 2025 November Exam Papers index,2026-09-05,2026-09-05,verified
2025 NSC Dance Studies Paper 1 + memo,Department of Basic Education,government,CAPS/NCS,South Africa,National,12,FET,Creative Arts,Dance Studies — Paper 1,English,past paper,2025,November,NSC November final exam,https://www.education.gov.za/LinkClick.aspx?fileticket=P06_9UMh3zk%3d&tabid=5742&portalid=0&mid=14833&forcedownload=true,https://www.education.gov.za/LinkClick.aspx?fileticket=fDP6fxw8uoY%3d&tabid=5742&portalid=0&mid=14833&forcedownload=true,unknown,A,83,https://www.education.gov.za/Curriculum/NationalSeniorCertificate(NSC)Examinations/2025NovemberExamPapers.aspx,DBE 2025 November Exam Papers index,2026-09-05,2026-09-05,verified
2025 NSC Design Paper 1 + memo,Department of Basic Education,government,CAPS/NCS,South Africa,National,12,FET,Visual Arts,Design — Paper 1,English,past paper,2025,November,NSC November final exam,https://www.education.gov.za/LinkClick.aspx?fileticket=YqH3ZC1Cl2Y%3d&tabid=5742&portalid=0&mid=14834&forcedownload=true,https://www.education.gov.za/LinkClick.aspx?fileticket=FVDcI-43OFk%3d&tabid=5742&portalid=0&mid=14834&forcedownload=true,unknown,A,84,https://www.education.gov.za/Curriculum/NationalSeniorCertificate(NSC)Examinations/2025NovemberExamPapers.aspx,DBE 2025 November Exam Papers index,2026-09-05,2026-09-05,verified
2025 NSC Hospitality Studies Paper 1 + memo,Department of Basic Education,government,CAPS/NCS,South Africa,National,12,FET,Consumer Studies,Hospitality Studies — Paper 1,English,past paper,2025,November,NSC November final exam,https://www.education.gov.za/LinkClick.aspx?fileticket=qwDUTLXA7Dw%3d&tabid=5742&portalid=0&mid=14841&forcedownload=true,https://www.education.gov.za/LinkClick.aspx?fileticket=2K0wHR0xYPk%3d&tabid=5742&portalid=0&mid=14841&forcedownload=true,unknown,A,84,https://www.education.gov.za/Curriculum/NationalSeniorCertificate(NSC)Examinations/2025NovemberExamPapers.aspx,DBE 2025 November Exam Papers index,2026-09-05,2026-09-05,verified
2025 NSC Agricultural Sciences Paper 1 + memo,Department of Basic Education,government,CAPS/NCS,South Africa,National,12,FET,Agricultural Sciences,Paper 1,English,past paper,2025,November,NSC November final exam,https://www.education.gov.za/LinkClick.aspx?fileticket=fLAKh9j_T8w%3d&tabid=5742&portalid=0&mid=14827&forcedownload=true,https://www.education.gov.za/LinkClick.aspx?fileticket=FO7umBQPKL4%3d&tabid=5742&portalid=0&mid=14827&forcedownload=true,unknown,A,88,https://www.education.gov.za/Curriculum/NationalSeniorCertificate(NSC)Examinations/2025NovemberExamPapers.aspx,DBE 2025 November Exam Papers index,2026-09-05,2026-09-05,verified
2025 NSC Agricultural Sciences Paper 2 + memo,Department of Basic Education,government,CAPS/NCS,South Africa,National,12,FET,Agricultural Sciences,Paper 2,English,past paper,2025,November,NSC November final exam,https://www.education.gov.za/LinkClick.aspx?fileticket=6fFO8x6uRP8%3d&tabid=5742&portalid=0&mid=14827&forcedownload=true,https://www.education.gov.za/LinkClick.aspx?fileticket=GS8zR9sXzj0%3d&tabid=5742&portalid=0&mid=14827&forcedownload=true,unknown,A,88,https://www.education.gov.za/Curriculum/NationalSeniorCertificate(NSC)Examinations/2025NovemberExamPapers.aspx,DBE 2025 November Exam Papers index,2026-09-05,2026-09-05,verified
2025 NSC Computer Applications Technology Paper 1 + memo,Department of Basic Education,government,CAPS/NCS,South Africa,National,12,FET,Computer Applications Technology,Paper 1,English,past paper,2025,November,NSC November final exam,https://www.education.gov.za/LinkClick.aspx?fileticket=eJc9iDV5LZY%3d&tabid=5742&portalid=0&mid=14831&forcedownload=true,https://www.education.gov.za/LinkClick.aspx?fileticket=bCu7Mup4UgQ%3d&tabid=5742&portalid=0&mid=14831&forcedownload=true,unknown,A,87,https://www.education.gov.za/Curriculum/NationalSeniorCertificate(NSC)Examinations/2025NovemberExamPapers.aspx,DBE 2025 November Exam Papers index,2026-09-05,2026-09-05,verified
2025 NSC Computer Applications Technology Paper 2 + memo,Department of Basic Education,government,CAPS/NCS,South Africa,National,12,FET,Computer Applications Technology,Paper 2,English,past paper,2025,November,NSC November final exam,https://www.education.gov.za/LinkClick.aspx?fileticket=KcbTBm-L1X4%3d&tabid=5742&portalid=0&mid=14831&forcedownload=true,https://www.education.gov.za/LinkClick.aspx?fileticket=wjW7mL3OwM0%3d&tabid=5742&portalid=0&mid=14831&forcedownload=true,unknown,A,87,https://www.education.gov.za/Curriculum/NationalSeniorCertificate(NSC)Examinations/2025NovemberExamPapers.aspx,DBE 2025 November Exam Papers index,2026-09-05,2026-09-05,verified
2025 NSC Engineering Graphics and Design Paper 1 + memo,Department of Basic Education,government,CAPS/NCS,South Africa,National,12,FET,Engineering Graphics and Design,Paper 1,English,past paper,2025,November,NSC November final exam,https://www.education.gov.za/LinkClick.aspx?fileticket=JA291kKX0LE%3d&tabid=5742&portalid=0&mid=14838&forcedownload=true,https://www.education.gov.za/LinkClick.aspx?fileticket=v3LMhglDN0w%3d&tabid=5742&portalid=0&mid=14838&forcedownload=true,unknown,A,86,https://www.education.gov.za/Curriculum/NationalSeniorCertificate(NSC)Examinations/2025NovemberExamPapers.aspx,DBE 2025 November Exam Papers index,2026-09-05,2026-09-05,verified
2025 NSC Engineering Graphics and Design Paper 2 + memo,Department of Basic Education,government,CAPS/NCS,South Africa,National,12,FET,Engineering Graphics and Design,Paper 2,English,past paper,2025,November,NSC November final exam,https://www.education.gov.za/LinkClick.aspx?fileticket=yZaENjL6084%3d&tabid=5742&portalid=0&mid=14838&forcedownload=true,https://www.education.gov.za/LinkClick.aspx?fileticket=E8nWiRr9DdA%3d&tabid=5742&portalid=0&mid=14838&forcedownload=true,unknown,A,86,https://www.education.gov.za/Curriculum/NationalSeniorCertificate(NSC)Examinations/2025NovemberExamPapers.aspx,DBE 2025 November Exam Papers index,2026-09-05,2026-09-05,verified
2025 NSC Civil Technology (Civil Services) Paper 1 + memo,Department of Basic Education,government,CAPS/NCS,South Africa,National,12,FET,Technology,Civil Technology — Civil Services stream,English,past paper,2025,November,NSC November final exam,https://www.education.gov.za/LinkClick.aspx?fileticket=o-jD9kdbiQk%3d&tabid=5742&portalid=0&mid=14830&forcedownload=true,https://www.education.gov.za/LinkClick.aspx?fileticket=cJbLql-E0IU%3d&tabid=5742&portalid=0&mid=14830&forcedownload=true,unknown,A,83,https://www.education.gov.za/Curriculum/NationalSeniorCertificate(NSC)Examinations/2025NovemberExamPapers.aspx,DBE 2025 November Exam Papers index,2026-09-05,2026-09-05,verified
2025 NSC Civil Technology (Construction) Paper 1 + memo,Department of Basic Education,government,CAPS/NCS,South Africa,National,12,FET,Technology,Civil Technology — Construction stream,English,past paper,2025,November,NSC November final exam,https://www.education.gov.za/LinkClick.aspx?fileticket=vBqjAWF1j-Y%3d&tabid=5742&portalid=0&mid=14830&forcedownload=true,https://www.education.gov.za/LinkClick.aspx?fileticket=hSYFGmfs914%3d&tabid=5742&portalid=0&mid=14830&forcedownload=true,unknown,A,83,https://www.education.gov.za/Curriculum/NationalSeniorCertificate(NSC)Examinations/2025NovemberExamPapers.aspx,DBE 2025 November Exam Papers index,2026-09-05,2026-09-05,verified
2025 NSC Electrical Technology (Digital Electronics) Paper 1 + memo,Department of Basic Education,government,CAPS/NCS,South Africa,National,12,FET,Technology,Electrical Technology — Digital Electronics stream,English,past paper,2025,November,NSC November final exam,https://www.education.gov.za/LinkClick.aspx?fileticket=JwQs31aURes%3d&tabid=5742&portalid=0&mid=14837&forcedownload=true,https://www.education.gov.za/LinkClick.aspx?fileticket=ElUjHvq77-A%3d&tabid=5742&portalid=0&mid=14837&forcedownload=true,unknown,A,83,https://www.education.gov.za/Curriculum/NationalSeniorCertificate(NSC)Examinations/2025NovemberExamPapers.aspx,DBE 2025 November Exam Papers index,2026-09-05,2026-09-05,verified
2025 NSC Electrical Technology (Power Electronics) Paper 1 + memo,Department of Basic Education,government,CAPS/NCS,South Africa,National,12,FET,Technology,Electrical Technology — Power Electronics stream,English,past paper,2025,November,NSC November final exam,https://www.education.gov.za/LinkClick.aspx?fileticket=Gvg7It6Li7w%3d&tabid=5742&portalid=0&mid=14837&forcedownload=true,https://www.education.gov.za/LinkClick.aspx?fileticket=4lKhu7qTqVk%3d&tabid=5742&portalid=0&mid=14837&forcedownload=true,unknown,A,83,https://www.education.gov.za/Curriculum/NationalSeniorCertificate(NSC)Examinations/2025NovemberExamPapers.aspx,DBE 2025 November Exam Papers index,2026-09-05,2026-09-05,verified
2025 NSC Electrical Technology (Power Systems) Paper 1 + memo,Department of Basic Education,government,CAPS/NCS,South Africa,National,12,FET,Technology,Electrical Technology — Power Systems stream,English,past paper,2025,November,NSC November final exam,https://www.education.gov.za/LinkClick.aspx?fileticket=AUAuIkD1Mss%3d&tabid=5742&portalid=0&mid=14837&forcedownload=true,https://www.education.gov.za/LinkClick.aspx?fileticket=ywaGrBRu4kk%3d&tabid=5742&portalid=0&mid=14837&forcedownload=true,unknown,A,83,https://www.education.gov.za/Curriculum/NationalSeniorCertificate(NSC)Examinations/2025NovemberExamPapers.aspx,DBE 2025 November Exam Papers index,2026-09-05,2026-09-05,verified
2025 NSC Afrikaans Home Language Paper 1 + memo,Department of Basic Education,government,CAPS/NCS,South Africa,National,12,FET,Languages,Afrikaans Home Language — Paper 1,Afrikaans,past paper,2025,November,NSC November final exam,https://www.education.gov.za/LinkClick.aspx?fileticket=-ndziWymKSo%3d&tabid=5742&portalid=0&mid=14812&forcedownload=true,https://www.education.gov.za/LinkClick.aspx?fileticket=IrUS0WtPgbM%3d&tabid=5742&portalid=0&mid=14812&forcedownload=true,unknown,A,86,https://www.education.gov.za/Curriculum/NationalSeniorCertificate(NSC)Examinations/2025NovemberExamPapers.aspx,DBE 2025 November Exam Papers index,2026-09-05,2026-09-05,verified
2025 NSC English Home Language Paper 1 + memo,Department of Basic Education,government,CAPS/NCS,South Africa,National,12,FET,Languages,English Home Language — Paper 1,English,past paper,2025,November,NSC November final exam,https://www.education.gov.za/LinkClick.aspx?fileticket=lBjX_BhxfDo%3d&tabid=5742&portalid=0&mid=14813&forcedownload=true,https://www.education.gov.za/LinkClick.aspx?fileticket=4uUJDTNayWI%3d&tabid=5742&portalid=0&mid=14813&forcedownload=true,unknown,A,86,https://www.education.gov.za/Curriculum/NationalSeniorCertificate(NSC)Examinations/2025NovemberExamPapers.aspx,DBE 2025 November Exam Papers index,2026-09-05,2026-09-05,verified
2025 NSC isiNdebele Home Language Paper 1 + memo,Department of Basic Education,government,CAPS/NCS,South Africa,National,12,FET,Languages,isiNdebele Home Language — Paper 1,isiNdebele,past paper,2025,November,NSC November final exam,https://www.education.gov.za/LinkClick.aspx?fileticket=r4p9-kddppY%3d&tabid=5742&portalid=0&mid=14814&forcedownload=true,https://www.education.gov.za/LinkClick.aspx?fileticket=LvI3wB41A-s%3d&tabid=5742&portalid=0&mid=14814&forcedownload=true,unknown,A,86,https://www.education.gov.za/Curriculum/NationalSeniorCertificate(NSC)Examinations/2025NovemberExamPapers.aspx,DBE 2025 November Exam Papers index,2026-09-05,2026-09-05,verified
2025 NSC isiXhosa Home Language Paper 1 + memo,Department of Basic Education,government,CAPS/NCS,South Africa,National,12,FET,Languages,isiXhosa Home Language — Paper 1,isiXhosa,past paper,2025,November,NSC November final exam,https://www.education.gov.za/LinkClick.aspx?fileticket=WkbhyZw76jo%3d&tabid=5742&portalid=0&mid=14815&forcedownload=true,https://www.education.gov.za/LinkClick.aspx?fileticket=0fG8i44UbOA%3d&tabid=5742&portalid=0&mid=14815&forcedownload=true,unknown,A,86,https://www.education.gov.za/Curriculum/NationalSeniorCertificate(NSC)Examinations/2025NovemberExamPapers.aspx,DBE 2025 November Exam Papers index,2026-09-05,2026-09-05,verified
2025 NSC isiZulu Home Language Paper 1 + memo,Department of Basic Education,government,CAPS/NCS,South Africa,National,12,FET,Languages,isiZulu Home Language — Paper 1,isiZulu,past paper,2025,November,NSC November final exam,https://www.education.gov.za/LinkClick.aspx?fileticket=Hbs5V1w1Mzw%3d&tabid=5742&portalid=0&mid=14816&forcedownload=true,https://www.education.gov.za/LinkClick.aspx?fileticket=-e2pPcJTaqY%3d&tabid=5742&portalid=0&mid=14816&forcedownload=true,unknown,A,86,https://www.education.gov.za/Curriculum/NationalSeniorCertificate(NSC)Examinations/2025NovemberExamPapers.aspx,DBE 2025 November Exam Papers index,2026-09-05,2026-09-05,verified
2025 NSC Sepedi Home Language Paper 1 + memo,Department of Basic Education,government,CAPS/NCS,South Africa,National,12,FET,Languages,Sepedi Home Language — Paper 1,Sepedi,past paper,2025,November,NSC November final exam,https://www.education.gov.za/LinkClick.aspx?fileticket=Exppv69deqU%3d&tabid=5742&portalid=0&mid=14818&forcedownload=true,https://www.education.gov.za/LinkClick.aspx?fileticket=xYhL5zG0Paw%3d&tabid=5742&portalid=0&mid=14818&forcedownload=true,unknown,A,86,https://www.education.gov.za/Curriculum/NationalSeniorCertificate(NSC)Examinations/2025NovemberExamPapers.aspx,DBE 2025 November Exam Papers index,2026-09-05,2026-09-05,verified
2025 NSC Setswana Home Language Paper 1 + memo,Department of Basic Education,government,CAPS/NCS,South Africa,National,12,FET,Languages,Setswana Home Language — Paper 1,Setswana,past paper,2025,November,NSC November final exam,https://www.education.gov.za/LinkClick.aspx?fileticket=cFMaUn-5jk0%3d&tabid=5742&portalid=0&mid=14819&forcedownload=true,https://www.education.gov.za/LinkClick.aspx?fileticket=mswUXRPKyQs%3d&tabid=5742&portalid=0&mid=14819&forcedownload=true,unknown,A,86,https://www.education.gov.za/Curriculum/NationalSeniorCertificate(NSC)Examinations/2025NovemberExamPapers.aspx,DBE 2025 November Exam Papers index,2026-09-05,2026-09-05,verified
2025 NSC Sesotho Home Language Paper 1 + memo,Department of Basic Education,government,CAPS/NCS,South Africa,National,12,FET,Languages,Sesotho Home Language — Paper 1,Sesotho,past paper,2025,November,NSC November final exam,https://www.education.gov.za/LinkClick.aspx?fileticket=QShb5Kegq-I%3d&tabid=5742&portalid=0&mid=14820&forcedownload=true,https://www.education.gov.za/LinkClick.aspx?fileticket=WIXrkdQEoQs%3d&tabid=5742&portalid=0&mid=14820&forcedownload=true,unknown,A,86,https://www.education.gov.za/Curriculum/NationalSeniorCertificate(NSC)Examinations/2025NovemberExamPapers.aspx,DBE 2025 November Exam Papers index,2026-09-05,2026-09-05,verified
2025 NSC siSwati Home Language Paper 1 + memo,Department of Basic Education,government,CAPS/NCS,South Africa,National,12,FET,Languages,siSwati Home Language — Paper 1,siSwati,past paper,2025,November,NSC November final exam,https://www.education.gov.za/LinkClick.aspx?fileticket=nrD9v0gbJcI%3d&tabid=5742&portalid=0&mid=14821&forcedownload=true,https://www.education.gov.za/LinkClick.aspx?fileticket=hZ_9LSpsQrw%3d&tabid=5742&portalid=0&mid=14821&forcedownload=true,unknown,A,86,https://www.education.gov.za/Curriculum/NationalSeniorCertificate(NSC)Examinations/2025NovemberExamPapers.aspx,DBE 2025 November Exam Papers index,2026-09-05,2026-09-05,verified
2025 NSC Tshivenda Home Language Paper 1 + memo,Department of Basic Education,government,CAPS/NCS,South Africa,National,12,FET,Languages,Tshivenda Home Language — Paper 1,Tshivenda,past paper,2025,November,NSC November final exam,https://www.education.gov.za/LinkClick.aspx?fileticket=UpnC0aL7f5o%3d&tabid=5742&portalid=0&mid=14822&forcedownload=true,https://www.education.gov.za/LinkClick.aspx?fileticket=LlQB-juiAHI%3d&tabid=5742&portalid=0&mid=14822&forcedownload=true,unknown,A,86,https://www.education.gov.za/Curriculum/NationalSeniorCertificate(NSC)Examinations/2025NovemberExamPapers.aspx,DBE 2025 November Exam Papers index,2026-09-05,2026-09-05,verified
2025 NSC Xitsonga Home Language Paper 1 + memo,Department of Basic Education,government,CAPS/NCS,South Africa,National,12,FET,Languages,Xitsonga Home Language — Paper 1,Xitsonga,past paper,2025,November,NSC November final exam,https://www.education.gov.za/LinkClick.aspx?fileticket=uwnT_fTEzO0%3d&tabid=5742&portalid=0&mid=14823&forcedownload=true,https://www.education.gov.za/LinkClick.aspx?fileticket=5G3DJE-bAb8%3d&tabid=5742&portalid=0&mid=14823&forcedownload=true,unknown,A,86,https://www.education.gov.za/Curriculum/NationalSeniorCertificate(NSC)Examinations/2025NovemberExamPapers.aspx,DBE 2025 November Exam Papers index,2026-09-05,2026-09-05,verified
2025 NSC Physical Sciences (Physics) Paper 1 + marking guidelines,Western Cape Education Department (hosting DBE-set paper),provincial government,CAPS/NCS,South Africa,National,12,FET,Physical Sciences,,English,past paper,2025,November,NSC November final exam,https://drive.google.com/uc?export=download&id=1Dq0z8D1JpnsDOFQSA-ihyG8SWJ7wRtHD,https://drive.google.com/uc?export=download&id=1fjjc-rI8-SzfuCWanFAMgKE3gbGlUY_B,CC BY-NC-ND,A,90,https://wcedeportal.westerncape.gov.za,WCED ePortal search,2026-09-05,2026-09-05,verified
